ts=1404987397, bytes_sent=188655454, bytes_recv=188655454, packets_sent=771511, packets_recv=771511, errin=0, errout=0, dropin=0, dropout=0
ts=1404987402, bytes_sent=188804064, bytes_recv=188804064, packets_sent=774061, packets_recv=774061, errin=0, errout=0, dropin=0, dropout=0
ts=1404987407, bytes_sent=188967524, bytes_recv=188967524, packets_sent=776843, packets_recv=776843, errin=0, errout=0, dropin=0, dropout=0
ts=1404987412, bytes_sent=189128464, bytes_recv=189128464, packets_sent=779598, packets_recv=779598, errin=0, errout=0, dropin=0, dropout=0
ts=1404987417, bytes_sent=189288280, bytes_recv=189288280, packets_sent=782342, packets_recv=782342, errin=0, errout=0, dropin=0, dropout=0
ts=1404987422, bytes_sent=189463869, bytes_recv=189463869, packets_sent=785185, packets_recv=785185, errin=0, errout=0, dropin=0, dropout=0
ts=1404987427, bytes_sent=189589209, bytes_recv=189589209, packets_sent=787325, packets_recv=787325, errin=0, errout=0, dropin=0, dropout=0
ts=1404987432, bytes_sent=189639195, bytes_recv=189639195, packets_sent=788178, packets_recv=788178, errin=0, errout=0, dropin=0, dropout=0
ts=1404987437, bytes_sent=189734645, bytes_recv=189734645, packets_sent=789806, packets_recv=789806, errin=0, errout=0, dropin=0, dropout=0
ts=1404987442, bytes_sent=189845895, bytes_recv=189845895, packets_sent=791709, packets_recv=791709, errin=0, errout=0, dropin=0, dropout=0
ts=1404987447, bytes_sent=189993205, bytes_recv=189993205, packets_sent=794234, packets_recv=794234, errin=0, errout=0, dropin=0, dropout=0
ts=1404987452, bytes_sent=190079813, bytes_recv=190079813, packets_sent=795700, packets_recv=795700, errin=0, errout=0, dropin=0, dropout=0
ts=1404987457, bytes_sent=190360751, bytes_recv=190360751, packets_sent=799020, packets_recv=799020, errin=0, errout=0, dropin=0, dropout=0
ts=1404987462, bytes_sent=190441659, bytes_recv=190441659, packets_sent=800400, packets_recv=800400, errin=0, errout=0, dropin=0, dropout=0
ts=1404987467, bytes_sent=190575981, bytes_recv=190575981, packets_sent=802680, packets_recv=802680, errin=0, errout=0, dropin=0, dropout=0
ts=1404987472, bytes_sent=190661281, bytes_recv=190661281, packets_sent=804135, packets_recv=804135, errin=0, errout=0, dropin=0, dropout=0
ts=1404987477, bytes_sent=190787963, bytes_recv=190787963, packets_sent=806295, packets_recv=806295, errin=0, errout=0, dropin=0, dropout=0
ts=1404987482, bytes_sent=190881428, bytes_recv=190881428, packets_sent=807760, packets_recv=807760, errin=0, errout=0, dropin=0, dropout=0
ts=1404987487, bytes_sent=190983832, bytes_recv=190983832, packets_sent=809506, packets_recv=809506, errin=0, errout=0, dropin=0, dropout=0
ts=1404987492, bytes_sent=191069886, bytes_recv=191069886, packets_sent=810970, packets_recv=810970, errin=0, errout=0, dropin=0, dropout=0
ts=1404987497, bytes_sent=191208794, bytes_recv=191208794, packets_sent=813338, packets_recv=813338, errin=0, errout=0, dropin=0, dropout=0
ts=1404987502, bytes_sent=191345660, bytes_recv=191345660, packets_sent=815678, packets_recv=815678, errin=0, errout=0, dropin=0, dropout=0
ts=1404987507, bytes_sent=191503692, bytes_recv=191503692, packets_sent=818389, packets_recv=818389, errin=0, errout=0, dropin=0, dropout=0
ts=1404987512, bytes_sent=191661698, bytes_recv=191661698, packets_sent=821079, packets_recv=821079, errin=0, errout=0, dropin=0, dropout=0
ts=1404987517, bytes_sent=192106928, bytes_recv=192106928, packets_sent=825247, packets_recv=825247, errin=0, errout=0, dropin=0, dropout=0
ts=1404987522, bytes_sent=192239300, bytes_recv=192239300, packets_sent=827511, packets_recv=827511, errin=0, errout=0, dropin=0, dropout=0
ts=1404987527, bytes_sent=192388854, bytes_recv=192388854, packets_sent=830043, packets_recv=830043, errin=0, errout=0, dropin=0, dropout=0
ts=1404987532, bytes_sent=192546274, bytes_recv=192546274, packets_sent=832741, packets_recv=832741, errin=0, errout=0, dropin=0, dropout=0
ts=1404987537, bytes_sent=192701240, bytes_recv=192701240, packets_sent=835401, packets_recv=835401, errin=0, errout=0, dropin=0, dropout=0
ts=1404987542, bytes_sent=192876857, bytes_recv=192876857, packets_sent=838198, packets_recv=838198, errin=0, errout=0, dropin=0, dropout=0
ts=1404987547, bytes_sent=192877071, bytes_recv=192877071, packets_sent=838200, packets_recv=838200, errin=0, errout=0, dropin=0, dropout=0
ts=1404987552, bytes_sent=192877071, bytes_recv=192877071, packets_sent=838200, packets_recv=838200, errin=0, errout=0, dropin=0, dropout=0
ts=1404987557, bytes_sent=192877285, bytes_recv=192877285, packets_sent=838202, packets_recv=838202, errin=0, errout=0, dropin=0, dropout=0
ts=1404987562, bytes_sent=192990929, bytes_recv=192990929, packets_sent=840156, packets_recv=840156, errin=0, errout=0, dropin=0, dropout=0
ts=1404987567, bytes_sent=193128929, bytes_recv=193128929, packets_sent=842524, packets_recv=842524, errin=0, errout=0, dropin=0, dropout=0
ts=1404987572, bytes_sent=193269261, bytes_recv=193269261, packets_sent=844921, packets_recv=844921, errin=0, errout=0, dropin=0, dropout=0
ts=1404987577, bytes_sent=193556067, bytes_recv=193556067, packets_sent=848335, packets_recv=848335, errin=0, errout=0, dropin=0, dropout=0
ts=1404987582, bytes_sent=193988227, bytes_recv=193988227, packets_sent=855593, packets_recv=855593, errin=0, errout=0, dropin=0, dropout=0
ts=1404987587, bytes_sent=194066763, bytes_recv=194066763, packets_sent=856977, packets_recv=856977, errin=0, errout=0, dropin=0, dropout=0
ts=1404987592, bytes_sent=194142843, bytes_recv=194142843, packets_sent=858300, packets_recv=858300, errin=0, errout=0, dropin=0, dropout=0
ts=1404987597, bytes_sent=194234129, bytes_recv=194234129, packets_sent=859906, packets_recv=859906, errin=0, errout=0, dropin=0, dropout=0
ts=1404987602, bytes_sent=194303269, bytes_recv=194303269, packets_sent=861113, packets_recv=861113, errin=0, errout=0, dropin=0, dropout=0
ts=1404987607, bytes_sent=194391551, bytes_recv=194391551, packets_sent=862660, packets_recv=862660, errin=0, errout=0, dropin=0, dropout=0
ts=1404987612, bytes_sent=194460075, bytes_recv=194460075, packets_sent=863859, packets_recv=863859, errin=0, errout=0, dropin=0, dropout=0
ts=1404987617, bytes_sent=194582079, bytes_recv=194582079, packets_sent=865902, packets_recv=865902, errin=0, errout=0, dropin=0, dropout=0
ts=1404987622, bytes_sent=194701239, bytes_recv=194701239, packets_sent=867846, packets_recv=867846, errin=0, errout=0, dropin=0, dropout=0
ts=1404987627, bytes_sent=194823131, bytes_recv=194823131, packets_sent=869887, packets_recv=869887, errin=0, errout=0, dropin=0, dropout=0
ts=1404987632, bytes_sent=194938491, bytes_recv=194938491, packets_sent=871761, packets_recv=871761, errin=0, errout=0, dropin=0, dropout=0
ts=1404987637, bytes_sent=195065815, bytes_recv=195065815, packets_sent=873896, packets_recv=873896, errin=0, errout=0, dropin=0, dropout=0
ts=1404987642, bytes_sent=195178075, bytes_recv=195178075, packets_sent=875720, packets_recv=875720, errin=0, errout=0, dropin=0, dropout=0
ts=1404987647, bytes_sent=195304857, bytes_recv=195304857, packets_sent=877848, packets_recv=877848, errin=0, errout=0, dropin=0, dropout=0
ts=1404987652, bytes_sent=195420057, bytes_recv=195420057, packets_sent=879726, packets_recv=879726, errin=0, errout=0, dropin=0, dropout=0
ts=1404987657, bytes_sent=195544083, bytes_recv=195544083, packets_sent=881805, packets_recv=881805, errin=0, errout=0, dropin=0, dropout=0
ts=1404987662, bytes_sent=195663699, bytes_recv=195663699, packets_sent=883761, packets_recv=883761, errin=0, errout=0, dropin=0, dropout=0
ts=1404987667, bytes_sent=195773839, bytes_recv=195773839, packets_sent=885614, packets_recv=885614, errin=0, errout=0, dropin=0, dropout=0
