ts=1404982324, bytes_sent=37258381, bytes_recv=37258381, packets_sent=117467, packets_recv=117467, errin=0, errout=0, dropin=0, dropout=0
ts=1404982329, bytes_sent=37258381, bytes_recv=37258381, packets_sent=117467, packets_recv=117467, errin=0, errout=0, dropin=0, dropout=0
ts=1404982334, bytes_sent=37404501, bytes_recv=37404501, packets_sent=118234, packets_recv=118234, errin=0, errout=0, dropin=0, dropout=0
ts=1404982339, bytes_sent=37610426, bytes_recv=37610426, packets_sent=119557, packets_recv=119557, errin=0, errout=0, dropin=0, dropout=0
ts=1404982344, bytes_sent=37611690, bytes_recv=37611690, packets_sent=119574, packets_recv=119574, errin=0, errout=0, dropin=0, dropout=0
ts=1404982349, bytes_sent=37611854, bytes_recv=37611854, packets_sent=119576, packets_recv=119576, errin=0, errout=0, dropin=0, dropout=0
ts=1404982354, bytes_sent=37612954, bytes_recv=37612954, packets_sent=119591, packets_recv=119591, errin=0, errout=0, dropin=0, dropout=0
ts=1404982359, bytes_sent=37613002, bytes_recv=37613002, packets_sent=119592, packets_recv=119592, errin=0, errout=0, dropin=0, dropout=0
ts=1404982364, bytes_sent=37613890, bytes_recv=37613890, packets_sent=119604, packets_recv=119604, errin=0, errout=0, dropin=0, dropout=0
ts=1404982369, bytes_sent=37613938, bytes_recv=37613938, packets_sent=119605, packets_recv=119605, errin=0, errout=0, dropin=0, dropout=0
ts=1404982374, bytes_sent=37614874, bytes_recv=37614874, packets_sent=119618, packets_recv=119618, errin=0, errout=0, dropin=0, dropout=0
ts=1404982379, bytes_sent=37614922, bytes_recv=37614922, packets_sent=119619, packets_recv=119619, errin=0, errout=0, dropin=0, dropout=0
ts=1404982384, bytes_sent=37615810, bytes_recv=37615810, packets_sent=119631, packets_recv=119631, errin=0, errout=0, dropin=0, dropout=0
ts=1404982389, bytes_sent=37615858, bytes_recv=37615858, packets_sent=119632, packets_recv=119632, errin=0, errout=0, dropin=0, dropout=0
ts=1404982394, bytes_sent=37696900, bytes_recv=37696900, packets_sent=120247, packets_recv=120247, errin=0, errout=0, dropin=0, dropout=0
